No,Kalimat,Kata Ambigu,Actual Sense
195,Buku ini memiliki jumlah halaman sebanyak 24 halaman dan dicetak dalam ukuran A4 sehingga nyaman untuk dibaca oleh anak anak,buku,"lembar kertas yang berjilid, berisi tulisan atau kosong; kitab"
196,Berdasarkan penelitian yang telah dilakukan peneliti menemukan bahwa dalam buku cerita anak berjudul Rafa si Raflesia mengandung makna tersirat mengenai konsep cinta diri,dasar,"pokok atau pangkal suatu pendapat (ajaran, aturan); asas"
197,Seperti yang telah dijelaskan di awal bahwa cinta diri sendiri adalah suatu kemampuan atau perasaan cinta terhadap diri sendiri yang diaktualisasikan melalui sikap penerimaan dan pemahaman akan diri sendiri serta tidak terpengaruh oleh tuntutan tuntutan atau standar standar orang lain,rasa,tanggapan hati terhadap sesuatu (indra)
198,"Cinta diri sendiri dapat dicapai ketika seorang individu telah memiliki aspek aspek kesadaran diri, harga diri, kepercayaan diri, dan perawat diri",aspek,"pemunculan atau penginterpretasian gagasan, masalah, situasi, dan sebagainya sebagai pertimbangan yang dilihat dari sudut pandang tertentu"
199,Berikut analisis dan penjabaran hasil penelitian mengenai empat aspek cinta diri sendiri yang tersirat dalam buku cerita Rafa si Raflesia,jabar,urai (secara terperinci)
200,Hal uniknya terdapat keterkaitan yang erat antara kebahagiaan seseorang dan kemampuannya dalam memahami diri sendiri yakni semakin seseorang mampu mengenal dan memahami diri semakin mudah pula seseorang untuk mendapat kebahagiaan dalam hidup Shoshana 2020,mudah,tidak memerlukan banyak tenaga atau pikiran dalam mengerjakan; tidak sukar; tidak berat; gampang
201,Itu artinya kebahagiaan seseorang berbanding lurus dengan sejauh mana seseorang mengenal dirinya sendiri,bahagia,keadaan atau perasaan senang dan tenteram (bebas dari segala yang menyusahkan)
202,Hal tersebut juga akan membantu seseorang dalam kehidupan bersosial,sosial,berkenaan dengan masyarakat
203,Terdapat sebuah ungkapan klise tak kenal maka tak sayang,klise,gagasan (ungkapan) yang terlalu sering dipakai
204,Ungkapan tersebut dapat disandingkan dengan konsep kesadaran diri yang dalam hal ini merupakan salah satu aspek dari cinta diri sendiri,sanding,dekat; damping; sebelah
205,Sebelum seseorang mencintai diri sendiri hendaknya orang tersebut mengenali dirinya sendiri,cinta,suka sekali; sayang benar
206,Tahap pengenalan dan pemahaman terhadap diri sendiri ini dapat dilakukan dengan menjawab beberapa pertanyaan penting yakni siapa diri saya apa yang saya suka dan tidak suka emosi seperti apa yang sedang saya rasakan apa yang saya dapat dan tidak dapat lakukan dan apa hal unik dari diri saya,rasa,tanggapan hati terhadap sesuatu (indra)
207,Dengan menjawab kelima pertanyaan tersebut setidaknya seseorang akan mendapatkan gambaran besar mengenai dirinya yang nantinya berdampak baik pada cara seseorang menghadapi segala kondisi di sekitarnya,dampak,pengaruh kuat yang mendatangkan akibat (baik negatif maupun positif)
208,Kesadaran diri sangat penting untuk dikenalkan pada anak sejak usia dini,dini,sebelum waktunya
209,Sebab dengan memiliki kemampuan kesadaran diri anak akan mampu mengerti kapan dirinya membutuhkan pertolongan atau hendak menolong orang lain sesuai dengan kapasitasnya Handayani 2021,sadar,insaf; merasa; tahu dan mengerti
210,Terkadang ada anak yang tidak mampu mengungkapkan keinginannya atau sungkan untuk meminta tolong,sungkan,menaruh hormat; segan
211,Kondisi tersebut disebabkan oleh ketidakmampuan anak dalam memahami dirinya sendiri tentang apa yang disuka dan dibutuhkan,butuh,perlu
212,Ada pula anak yang tidak mampu mengontrol dan mengekspresikan emosi dalam dirinya,ekspresi,"pengungkapan atau proses menyatakan (memperlihatkan atau menyatakan maksud, gagasan, perasaan, dan sebagainya)"
213,Hal ini terjadi akibat ketidakpahaman anak terhadap perasaan dan emosinya,rasa,tanggapan hati terhadap sesuatu (indra)
214,Maka dari itu anak usia dini penting untuk dikenalkan kesadaran diri sejak dini agar segi sosial dan emosionalnya dapat berkembang,sadar,insaf; merasa; tahu dan mengerti
215,Dalam buku Rafa si Raflesia terdapat aspek kesadaran diri secara tersirat yakni tokoh Rafa yang digambarkan sebagai tokoh yang telah memahami hakikat dirinya sendiri sebagai bunga yang berbeda dari bunga yang lain,buku,"lembar kertas yang berjilid, berisi tulisan atau kosong; kitab"
216,Rafa senang dia terlihat berbeda di taman ini,taman,tempat (yang menyenangkan dan sebagainya)
217,Dalam cerita selanjutnya Rafa mampu mendeskripsikan perbedaan perbedaan yang ada pada dirinya seperti dalam narasi berikut,cerita,"karangan yang menuturkan perbuatan, pengalaman, atau penderitaan orang; kejadian dan sebagainya (baik yang sungguh-sungguh terjadi maupun yang hanya rekaan belaka)"
218,Rafa tidak punya daun tetapi punya kelopak yang besar,daun,bagian tanaman yang tumbuh berhelai-helai pada ranting (biasanya hijau) sebagai alat bernapas dan mengolah zat makanan
219,Kedua narasi tersebut membuktikan bahwa tokoh Rafa mampu mengenali dirinya sendiri sebagai bunga Raflesia dengan karakteristik karakteristiknya,tokoh,pemegang peran (peran utama) dalam roman atau drama
220,Ungkapan senang juga mengindikasikan bahwa tokoh Rafa mampu mengenali emosi yang dirasakannya yakni perasaan senang,emosi,"keadaan dan reaksi psikologis dan fisiologis (seperti kegembiraan, kesedihan, keharuan, kecintaan); keberanian yang bersifat subjektif"
221,Maka dari itu kesadaran diri telah tersisip dalam narasi cerita ini,tersisip,termasuk atau termuat di dalamnya; terselip; terselit; terkandung
222,Pentingnya kesadaran diri bagi anak adalah melatih anak dalam mengenali karakteristik dirinya sendiri baik karakteristik secara fisik maupun psikis emosi,sadar,insaf; merasa; tahu dan mengerti
223,Anak perlu mengetahui bentuk fisik dirinya apakah berambut panjang atau pendek berkulit sawo matang atau putih bermata bulat atau sipit dan lain lain,bentuk,bangun; gambaran
224,Anak juga perlu mengetahui bahwa perbedaan fisik antara dirinya dan orang lain pasti ada dan wajar,beda,sesuatu yang menjadikan berlainan (tidak sama) antara benda yang satu dan benda yang lain; ketidaksamaan
225,Selain karakteristik fisik penting pula bagi anak untuk dapat merasakan emosinya misalkan senang sedih marah ataupun kecewa,rasa,tanggapan hati terhadap sesuatu (indra)
226,Sebab dengan merasakan emosi anak akan mendapat pengalaman dan pengetahuan baru tentang perbedaan emosi,dapat,menerima; memperoleh
227,Setelah memahaminya anak juga akan mudah berekspresi dan terbuka mengutarakan perasaannya,mudah,tidak memerlukan banyak tenaga atau pikiran dalam mengerjakan; tidak sukar; tidak berat; gampang
228,Ini selaras dengan penelitian sebelumnya yang menyimpulkan bahwa kesadaran diri akan membantu anak dalam mengenali dirinya serta memengaruhi anak dalam merespons kondisi di sekitarnya,laras,kesesuaian; kesamaan
229,Hal ini tentu akan sangat memengaruhi harga diri anak usia dini,harga,kehormatan (diri)
230,Sebaliknya ketika pola asuh orang tua diterapkan secara otoriter dan tidak memberikan ruang bagi anak untuk berdiskusi harga diri anak akan turun,pola,bentuk (struktur) yang tetap
231,Maka dari itu penting untuk mulai mengenalkan anak terhadap konsep harga diri untuk menuju cinta diri sendiri seutuhnya,harga,kehormatan (diri)
232,Terdapat keterkaitan yang erat antara harga diri dan kepercayaan diri yakni semakin tinggi harga diri seseorang maka semakin tinggi pula tingkat kepercayaan dirinya,erat,"teguh (tentang janji, pertalian)"
233,Kepercayaan diri merupakan kebutuhan yang harus dipenuhi setelah kebutuhan fisiologis afektif dan rasa aman,aman,tenteram; tidak merasa takut atau khawatir
234,Adapun tingkat kepercayaan diri dipengaruhi oleh beberapa hal yakni jenis kelamin kelas sosial dan pola asuh dalam lingkungan baik lingkungan sosial maupun lingkungan keluarga,kelas,"kelompok masyarakat berdasarkan pendidikan, penghasilan, kekuasaan, dan sebagainya"
235,Perbedaan jenis kelamin dapat memengaruhi tingkat kepercayaan diri seseorang,beda,sesuatu yang menjadikan berlainan (tidak sama) antara benda yang satu dan benda yang lain; ketidaksamaan
236,Ada beberapa orang yang jauh lebih percaya diri ketika dirinya memiliki tingkat pendidikan pekerjaan dan penghasilan yang tinggi sedangkan yang tingkatnya rendah seringkali rentan terkena perundungan,rendah,dekat ke bawah; tidak tinggi
237,Rafa bangga ketika kelopaknya mulai membuka baunya sangat kuat,bangga,besar hati; merasa gagah (karena mempunyai keunggulan)
238,Perasaan bangga Rafa ketika membuka kelopaknya mengindikasikan bahwa Rafa percaya diri dengan dirinya,rasa,tanggapan hati terhadap sesuatu (indra)
239,Ia mampu mengidentifikasi kekurangan dan kelebihan yang ada dalam dirinya seperti dalam narasi berikut,identifikasi,"penentu atau penetapan identitas seseorang, benda, dan sebagainya"
240,Rafa juga berwarna merah tetapi penuh bintik seperti kutil,merah,warna dasar yang serupa dengan warna darah: warna bajunya
241,Narasi tersebut menjelaskan persamaan Rafa dengan bunga mawar yakni sama sama berwarna merah tetapi perbedaannya terletak pada adanya bintik seperti kutik pada kelopak Rafa,sama,"serupa (halnya, keadaannya, dan sebagainya); tidak berbeda; tidak berlainan"
242,Hal ini tentu dapat dikatakan bahwa tokoh Rafa memahami kekurangan dirinya tetapi dia tetap tidak masalah dengan kekurangannya terlihat dari penggambaran ekspresi pada ilustrasi tokoh Rafa yang tersenyum senang alih alih sedih,tokoh,pemegang peran (peran utama) dalam roman atau drama
243,Dalam upaya pengenalan kepercayaan diri kepada anak terdapat pengaruh lingkungan baik lingkungan sosial maupun keluarga,keluarga,ibu dan bapak beserta anak-anaknya; seisi rumah
244,Lingkungan sosial bisa berupa lingkungan masyarakat atau sekolah,sosial,"suka memperhatikan kepentingan umum (suka menolong, menderma, dan sebagainya)"
245,Anak yang mendapat perlakuan baik dari masyarakat teman teman dan guru akan memiliki kepercayaan diri yang baik pula,laku,perbuatan; gerak-gerik; tindakan; cara menjalankan atau berbuat
246,Sementara itu lingkungan keluarga berperan penting melalui pola asuh yang diterapkan misalnya pada cara orang tua dalam memperlakukan anak cara mengapresiasi anak dan cara meyakinkan anak tentang keberhargaan diri anak,pola,sistem; cara kerja
247,Jika anak mendapat asupan yang baik dari keluarga persepsi anak terhadap dirinya sendiri akan selalu positif dan meningkatkan kepercayaan diri anak dalam kehidupan sosial,keluarga,ibu dan bapak beserta anak-anaknya; seisi rumah
248,Proses interaksi sosial manusia dengan pihak lainnya diwujudkan dalam bentuk komunikasi komunikasi yang biasanya berbentuk sekumpulan rumus atau kode kode yang disepakati oleh kedua belah pihak,belah,sisi; pihak
249,Pada tataran praktiknya komunikasi verbal cenderung lebih banyak digunakan manusia untuk menyampaikan hasrat gagasan dan maksud keinginan mereka kepada pihak lain,praktik,perbuatan menerapkan teori (keyakinan dan sebagainya); pelaksanaan
250,Melalui bahasa mereka berinteraksi bernegosiasi saling menyampaikan pendapat dan saling memengaruhi sekaligus dipengaruhi,bahasa,"sistem lambang bunyi yang arbitrer, yang digunakan oleh anggota suatu masyarakat untuk bekerja sama, berinteraksi, dan mengidentifikasikan diri"
251,Para pejuang dengan sengaja menerapkannya di berbagai momen penting dalam rangka menuju kemerdekaan baik bersifat resmi maupun tidak,rangka,rancangan; rencana; skema; (dalam) kaitan (dengan); hubungan
252,Hingga saat ini bahasa Indonesia menjadi alat komunikasi utama dalam berkehidupan berbangsa dan bernegara meski dengan berbagai dinamika baik perubahan maupun penyesuaian tertentu melalui tangan para ahli,alat,yang dipakai untuk mencapai maksud
253,Sebagaimana disebutkan sebelumnya serta sebagai sebuah produk budaya bahasa mengalami perkembangan yang dinamis,budaya,"sesuatu mengenai kebudayaan yang sudah berkembang (beradab, maju)"
254,Pola interaksi dan kebutuhan komunikasi yang beragam melahirkan tata bahasa yang kompleks sehingga menuntut adanya penerapan maksimal bahasa Indonesia yang baku sebagai sarana interaksi dan komunikasi formal,pola,bentuk (struktur) yang tetap
255,Namun di sisi lain masyarakat telah mentradisikan berbahasa Indonesia yang sederhana dan mudah dipahami tanpa harus menerapkan aturan kebahasaan formal sebagaimana dirancang oleh para pakar bahasa,sederhana,tidak banyak seluk-beluknya (kesulitan dan sebagainya); tidak banyak pernik; lugas
256,Diskusi mengenai penerapan bahasa Indonesia baku hingga saat ini masih menjadi sorotan berbagai kalangan pemerhati bahasa,baku,tolok ukur yang berlaku untuk kuantitas atau kualitas yang ditetapkan berdasarkan kesepakatan; standar
257,Pendidikan tinggi sebagai institusi penting dalam penggalian pengetahuan memiliki peran yang penting dalam mendiskusikan permasalahan ini,gali,keduk; keruk
258,Bahasa Indonesia dengan berbagai fenomena komunikasi di dalam dan di luar akademik juga menjadi salah satu pembahasan yang menarik,fenomena,hal-hal yang dapat disaksikan dengan pancaindra dan dapat diterangkan serta dinilai secara ilmiah (seperti fenomena alam); gejala
259,Artikel ini berupaya menghadirkan diskusi terkait dengan polemik penggunaan bahasa Indonesia dimulai dari penerapan bahasa baku yang tepat dan asertif dalam keseharian ruang akademik hingga peranannya dalam pembentukan karakter,guna,fungsi
260,Sebagai lambang identitas nasional bahasa Indonesia dijunjung tinggi selain bendera nasional dan lagu kebangsaan,tinggi,luhur; mulia
261,Dalam melaksanakan fungsi ini bahasa Indonesia tentu harus memiliki identitasnya sendiri sehingga serasi dengan lambang kebangsaan lainnya,fungsi,peran sebuah unsur bahasa dalam satuan sintaksis yang lebih luas (seperti nomina berfungsi sebagai subjek)
262,Bahasa Indonesia dapat mewakili identitasnya sendiri apabila masyarakat pemakainya membina dan mengembangkannya sedemikian rupa sehingga bersih dari unsur unsur bahasa lain yang memang benar benar tidak diperlukan,bersih,tidak dicampur dengan unsur atau zat lain; asli
263,Misalnya pengadopsian istilahkata asing yang sudah ada padanannya dalam bahasa Indonesia,padan,cocok; sesuai; patut benar
264,Kedudukan pertama dari bahasa Indonesia sebagai bahasa nasional dibuktikan dengan digunakannya bahasa Indonesia dalam bulir bulir Sumpah Pemuda,kedudukan,keadaan yang sebenarnya (tentang perkara dan sebagainya)
265,Perkembangan internet di Indonesia pun menunjukkan pertumbuhan yang signifikan dari tahun ke tahun,tumbuh,"sedang berkembang (menjadi besar, sempurna, dan sebagainya)"
266,Masalah ilmiah biasanya menyangkut hal yang bersifat abstrak atau konseptual yang sulit dicari alat peraga atau analoginya dengan keadaan nyata,abstrak,tidak berwujud; tidak berbentuk; mujarad; niskala
267,Pembaca yang baik akan selalu memperkaya pengetahuan sehingga dapat menjadikan kehidupannya semakin bahagia,kaya,mempunyai banyak (mengandung banyak dan sebagainya)
268,Membaca berperan penting dalam kehidupan karena membaca adalah jantung pendidikan,jantung,"sesuatu yang bentuk, atau fungsinya seperti jantung"
269,"Dalam beberapa bulan terakhir sebagian dari kita dipaksa untuk bekerja dari rumah, termasuk kalangan pendidik Indonesia.",paksa,mengerjakan sesuatu yang diharuskan walaupun tidak mau
270,Hal ini dikarenakan oleh situasi pandemi yang eksis sejak Maret tahun lalu,eksis,ada dan berkembang
271,"Tak hanya itu, pendidik dituntut untuk kreatif dan inovatif guna pembelajaran yang dapat tersampaikan dengan baik kepada peserta didik",guna,kata depan untuk menyatakan tujuan; untuk; bagi
272,Penyebarluasan iptek dan pemanfaatannya pada perencanaan dan pelaksanaan pembangunan negara dilakukan dengan menggunakan bahasa Indonesia,bangun,cara menyusun atau susunan yang merupakan suatu wujud; struktur
273,Informasi pengoperasian teknologi menjadi penting pada masa pandemi ini,operasi,pelaksanaan rencana yang telah dikembangkan
274,Pembahasan ini merujuk pada sumbangsih ide untuk menggunakan berbagai media yang dapat digunakan dalam pembelajaran,media,"alat (sarana) komunikasi seperti koran, majalah, radio, televisi, film, poster, dan spanduk"
275,"Kemajuan teknologi tidak hanya pada perangkat keras, tetapi juga perkembangan perangkat lunak yang pesat",pesat,maju (berkembang) dengan cepat
276,Ponsel memungkinkan penggunanya untuk mempelajari bahasa melalui aplikasi-aplikasi tertentu,aplikasi,program komputer atau perangkat lunak yang didesain untuk mengerjakan tugas tertentu
277,Penelitian lain juga menunjukkan bahwa penggunaan perangkat seluler memiliki efek positif pada peningkatan keterampilan belajar bahasa,efek,akibat; pengaruh
278,pemahaman mendalam tentang media dan teknologi serta pemanfaatannya merupakan kebutuhan mendesak untuk mengatasi lajunya perubahan generasi ke generasi,mendesak,"memaksa untuk segera dilakukan (dipenuhi, diselesaikan karena ada dalam keadaan darurat, genting, dan sebagainya)"
279,"Keuntungan lainnya adalah dengan ukuran memori aplikasi yang lebih kecil sehingga dapat diakses dari berbagai perangkat secara bersamaan seperti smartphone, tablet, komputer, laptop dan lain-lain",memori,peranti komputer yang dapat menyimpan dan merekam informasi
280,"meskipun pembelajaran dilaksanakan secara daring, tetapi dalam prosesnya tidak membosankan dan menciptakan suasana yang membuat seolah siswa dan guru merasa seperti berada di dunia nyata bukan dunia maya",maya,"merujuk pada fitur atau peranti yang tidak benar-benar ada,disimulasikan oleh komputer dan dapat digunakan oleh pengguna seolah-olah memang ada"
281,Teks sastra merupakan respons atas keberjamakan teks yang melatarinya,latar,keadaan atau situasi (yang menyertai ujaran atau percakapan)
282,Goenawan Muhamad sudah fasih membuat puisi dengan imaji dan ide berlatar suasana yang kuat,latar,"keterangan mengenai waktu, ruang, dan suasana terjadinya lakuan dalam karya sastra"
283,Pada mulanya deret huruf disepakati dengan istilah kata,deret,"hubungan antara unsur bahasa secara linear, misalnya deret fonem dalam kata; realisasi dari urutan"
284,"Lalu, citra visual dan akustik menyertainya saat seseorang membubuhkannya dalam puisi atau saat seseorang membacanya",citra,"kesan mental atau bayangan visual yang ditimbulkan oleh sebuah kata, frasa, atau kalimat, dan merupakan unsur dasar yang khas dalam karya prosa dan puisi"
285,Di beranda ini angin tak kedengaran lagi,beranda,"ruang beratap yang terbuka (tidak berdinding) di bagian samping atau depan rumah (biasa dipakai untuk tempat duduk santai sambil makan angin, dan sebagainya); teras; langkan"
286,"Tentu saja, pengalaman penyair yang membubuhkan imaji dan ide dalam kedua puisi tersebut tidak akan seidentik dengan pengalaman seseorang saat membacanya karena pembaca potensial memiliki atmosfer pengetahuan dan pengalaman hidup yang berbeda",atmosfer,suasana perasaan yang bersifat imajinatif dalam naskah drama yang diciptakan oleh pengarangnya
287,"Sewaktu pulang dari tempat kerja, di tengah jalan, tepatnya di Jalan Cadas Pangeran, motor yang dikendarainya mogok",mogok,tidak dapat berjalan (bekerja) sebagaimana biasanya (tentang kendaraan)
288,"Sampai di sini, dramayana telah mencapai puncak kisah",puncak,"yang tertinggi; teratas; tingkatan (harta, keadaan, dan sebagainya) yang tertinggi atau tersangat"
289,Yang tersisa dari kita sebagai penikmat cerita adalah betapa kisah memilih jalannya sendiri tanpa kuasa sang tokoh utama untuk menghentikannya atau sekadar membelokkannya,tokoh,pemegang peran (peran utama) dalam roman atau drama
290,"Betapa daya dukung teknologi informasi dengan karakter konten yang serba cepat, luas, dan masif mampu mengonstruksi sebuah kenyataan",konstruksi,susunan dan hubungan kata dalam kalimat atau kelompok kata
291,"Ada yang geram, ada yang tertawa bahagia sambil berurai air mata karena merasa bahwa kisah ini begitu pilu plus tragis, tetapi sangat manusiawi",geram,marah sekali; gemas
292,Televisi dan telepon dapat dikatakan menjadi ikon puncak peradaban,puncak,"yang tertinggi; teratas; tingkatan (harta, keadaan, dan sebagainya) yang tertinggi atau tersangat"
293,Wiwi adalah presiden boneka yang dipasang oleh Sembilan Naga untuk mengamankan kepentingan ekonominya,boneka,orang (negara dan sebagainya) yang hanya menjadi mainan orang (negara dan sebagainya) lain
294,"Melalui totalitas sastranya, ia ibarat garda depan menawan bak pahlawan",menawan,menarik hati; memikat
295,Chairil mematangkan sekaligus membentangkan bahasa Indonesia ke depan,matang,sudah dipikirkan (dipertimbangkan) baik-baik; sudah diputuskan (disetujui bersama); sudah sempurna atau sudah pada tingkatan yang terbaik (terakhir)
296,"Keindonesiaan kami tidak semata-mata karena kulit kami yang sama matang, rambut kami yang hitam atau tulang pelipis kami yang menjorok ke depan",matang,mulai dewasa (tentang perkembangan manusia secara fisik dan psikologis)
297,"Dengan kata lain, ketiga makna tersebut sejajar dengan peristiwa saat teks diproduksi",sejajar,sama derajat (tingkat dan sebagainya)
298,"Ponsel memiliki sejumlah fitur yang cocok untuk pendidikan modern, terutama dalam hal navigasi dan berbagi konten pendidikan",fitur,"karakteristik khusus yang terdapat pada suatu alat (televisi, ponsel, dan sebagainya)"
299,mengembangkan mekanisme penyediaan materi pengembangan kompetensi guru dan media atau alat bantu mengajar yang bermutu dan terstandar,mutu,"(ukuran) baik buruk suatu benda; kadar; taraf atau derajat (kepandaian, kecerdasan, dan sebagainya); kualitas"
300,Pola interaksi dan kebutuhan komunikasi yang beragam melahirkan tata bahasa yang kompleks sehingga menuntut adanya penerapan maksimal bahasa Indonesia yang baku sebagai sarana interaksi dan komunikasi formal,pola,sistem; cara kerja
